persona,foto_dificil,dist_solo_frontal,dist_variado,recon_frontal,recon_variado
gerardo,accesorioCapuchaLentes_01,0.432,0.405,OK,OK
gerardo,accesorioLentes_01,0.428,0.393,OK,OK
gerardo,accesorioLentes_02,0.29,0.351,OK,OK
gerardo,contraluz_01,0.205,0.326,OK,OK
gerardo,luzLateral_02,0.344,0.314,OK,OK
gerardo,molesto_01,0.246,0.346,OK,OK
gerardo,perfilIzquierdo_01,0.313,0.333,OK,OK
gerardo,sonriendo_01,0.356,0.412,OK,OK
kevin,foto5,0.153,0.203,OK,OK
kevin,foto_feliz,0.245,0.265,OK,OK
kevin,foto_seria,0.217,0.215,OK,OK
kevin,fotocapuchaylentes,0.346,0.306,OK,OK
kevin,fotoconlentes,0.336,0.335,OK,OK
kevin,fotogorra,0.271,0.301,OK,OK
kevin,fotogorraylentes,0.369,0.339,OK,OK
kevin,fotogorraylentes2,0.335,0.327,OK,OK
kevin,fotolat_der2,0.481,0.431,OK,OK
kevin,fotolat_izq1,0.558,0.517,OK,OK
kevin,fotolat_izq2,0.381,0.347,OK,OK
kevin,fotoluzlateral2,0.313,0.234,OK,OK
kevin,fotoluzlateral3,0.274,0.248,OK,OK
kevin,fotoluzlateral4,0.253,0.252,OK,OK
